paper,authors,date,venue/status,problem,method,central result,security endpoint,relation to us,collision risk,confidence,source
"On Evaluating the Durability of Safeguards for Open-Weight LLMs","Qi et al.","2025-04","ICLR 2025 main conference","How fragile durability conclusions are to attack implementation and randomness","Adaptive replication across seeds/trainers/schedules/formats","Small attack changes overturn several claimed robustness results","Bounded adaptive attack cost under explicit threat models","Makes any breach-cost estimate an attack-relative upper bound","FATAL for generic durability-evaluation novelty","high","https://proceedings.iclr.cc/paper_files/paper/2025/hash/9d3a4cdf6f70559e8c6fe02170fba568-Abstract-Conference.html"
"TamperBench: Systematically Stress-Testing LLM Safety Under Fine-Tuning and Tampering","Hossain et al.","2026-08","KDD 2026 Datasets & Benchmarks track; oral","How to standardize adaptive tamper evaluation","Nine attacks × 21 models with per-pair hyperparameter sweeps and utility ceilings","Attack rankings are model-specific; jailbreak tuning is often strongest","Worst-found safety under utility-constrained attack portfolio","Near-direct collision with breach-cost benchmark story","FATAL for benchmark novelty; HIGH for mechanism","high","https://doi.org/10.1145/3770855.3817557"
"Deep Ignorance","O’Brien et al.","2026-04","ICLR 2026 main conference","Whether pretraining filtering yields more durable safeguards than post-hoc suppression","Train matched 6.9B models with filtered pretraining data; long adaptive fine-tuning","Never learning hazardous knowledge is far harder to reverse than post-hoc safeguards, though context can restore access","Up to 10k attack steps/300M tokens with utility controls","Counterexample to refusal-only framing and bridge to capability accessibility","HIGH","high","https://proceedings.iclr.cc/paper_files/paper/2026/hash/3bf80b34f731313b8292f4578e820c90-Abstract-Conference.html"
"AntiDote: Bi-level Adversarial Training for Tamper-Resistant LLMs","Sanyal et al.","2026-03","AAAI 2026 main conference","How to harden against malicious fine-tuning","Hypernetwork-generated LoRA attacks inside a bi-level optimization","Improves measured tamper robustness with small reported utility cost","Weight/latent/input red-team attacks","Direct collision with low-cost mechanism-derived defense","HIGH","high","https://ojs.aaai.org/index.php/AAAI/article/download/40570/44531"
"Open-Weight LLM Fine-Tuning Defenses are Susceptible to Simple Attacks","Kuo et al.","2026-05","arXiv preprint","Whether elaborate fine-tuning defenses survive simpler non-training attacks","Abliteration and prefilling against defended checkpoints","Low-cost attacks raise ASR to 16–96%; ART gives only partial mitigation","Cheap activation/weight-derived and prefill attacks","Requires early adaptive cheap-attack baselines and challenges defense claims","HIGH","high","https://arxiv.org/abs/2605.26526"
"Abliteration Mitigation via Refusal Aliases","Truong","2026-08","arXiv preprint","Whether refusal signals can be hidden from extraction while preserving behavior","Rank-k updates to residual writer matrices plus downstream reader correction","Aliases improve post-abliteration refusal with model-dependent utility trade-offs","Abliteration robustness","Direct collision with writer/reader parameter defense","FATAL for writer-edit defense novelty","high","https://arxiv.org/abs/2608.18093"
"Understanding and Preserving Safety in Fine-Tuned LLMs","Zhang et al.","2026-01","arXiv preprint","How safety and utility gradients interact","Low-rank safety-gradient subspace and conflict projection","Safety gradients are low rank and often conflict with broader utility gradients; SPF preserves safety","Benign/adversarial fine-tuning safety","Direct collision with gradient subspace and utility projection","HIGH","high","https://arxiv.org/abs/2601.10141"
"The Geometry of Alignment Collapse: When Fine-Tuning Breaks Safety","Springer et al.","2026-02","arXiv preprint","Why initially orthogonal benign gradients later damage safety","Curvature-coupled gradient dynamics and quartic-time prediction","Second-order dynamics enter sharp low-dimensional safety regions despite first-order orthogonality","Benign fine-tuning safety degradation","Collision with parameter geometry/trajectory and first-order co-control explanations","HIGH","medium","https://arxiv.org/abs/2602.15799"
"The Geometry of Refusal: Why Post-Hoc Safety Is Fragile and Pretraining-Time Safety Persists","Srikanth Malla; Chiho Choi; Joon Hee Choi","2026-09","arXiv preprint","Why post-hoc refusal is erased by benign fine-tuning while pretraining safety persists","Capability empirical-Fisher overlap and normalized curvature across training schedules","Post-hoc safety is thin and sharp; sustained pretraining-time safety is more durable, but similar scalar geometry can accompany very different durability","Benign fine-tuning refusal retention with capability matching","Strong competing parameter-geometry explanation and an internal counterexample to scalar metrics","FATAL for generic parameter-geometry claim; DIFFERENTIATED gap remains","high","https://arxiv.org/abs/2609.06934"
"When Safety Routing Breaks","Yitong Guo; Xiaoyi Chen; Siyuan Zhang; Xiaofeng Wang; Haixu Tang","2026-09","Findings of EMNLP 2026 accepted; arXiv record","Why benign fine-tuning breaks safety with little utility loss","Fisher decomposition; logit lens; cross-condition patching; module-wise curvature","Alignment preserves safety representations but leaves a fragile late output-routing pathway that benign tuning can sharpen","Safety collapse and restoration under benign fine-tuning","Direct simpler competitor to writer concentration/common-mode stories","FATAL if writer story reduces to late output routing","high","https://arxiv.org/abs/2609.01455"
"Skin-Deep: Diagnosing Alignment Fragility from Internal Representations","Dongyub Jude Lee et al.","2026-06","arXiv preprint","Can activation geometry predict fine-tuning fragility before attack","cPCA safety subspace and depth-weighted Geometry Fragility Score","Reportedly ranks limited-model refusal retention under rank-8 benign LoRA","Pre-attack diagnosis of refusal retention","Closest activation-metric predictor baseline; must be beaten out of sample","FATAL for generic geometry-predicts-fragility claim","medium-high","https://arxiv.org/abs/2606.22676"
"Dynamic Adversarial Fine-Tuning Reorganizes Refusal Geometry","Wenhao Lan et al.","2026-05","arXiv preprint v3","How dynamic adversarial fine-tuning changes refusal geometry","SFT/R2D2 checkpoint trajectories; causal carrier interventions; adaptive GCG","Carrier location and utility coupling move while stable rank stays nearly constant; later adaptive attacks recover","Input-attack safety and utility over training","Counterexample to rank as durability explanation","HIGH","high","https://arxiv.org/abs/2604.27019"
"NeuronGuard","Anjun Gao; Yueyang Quan; Yufei Xia; Zhuqing Liu; Minghong Fang","2026-08","Findings of EMNLP 2026 to appear; arXiv record","Can deliberate safety-neuron ablation induce distributed robustness","Dynamic neuron discovery; training-time ablation; KL consistency; randomized gradient projection","Reportedly redistributes safety signals and improves resistance across several input/neuron-pruning attacks","Jailbreak and neuron-pruning robustness","Near-direct collision with fault-injection defense","FATAL for generic defense","high","https://arxiv.org/abs/2608.23959"
"SafeNeuron","Zhaoxin Wang et al.","2026-02","arXiv preprint","Can preference optimization avoid concentrating safety in sparse neurons","Identify and freeze safety neurons during DPO","Reportedly forces redundant representations and improves neuron-pruning robustness","Pruning attack success and utility","Occupies freeze-the-fuse-to-create-backups intuition","FATAL for defense; HIGH for diagnosis","high","https://arxiv.org/abs/2602.12158"
"NeuroStrike: Breaking LLM Safety via Targeted Neuron Pruning","Lichao Wu; Sasha Behrouzi; Mohamadreza Rostami; Maximilian Thang; Stjepan Picek; Ahmad-Reza Sadeghi","2026","NDSS 2026 main conference","Can sparse neuron pruning remove alignment and transfer across descendants","Safety-neuron identification and sub-percent pruning","Pruning a very small neuron subset produces high attack success across many models and transfers to fine-tuned descendants","Harmful compliance with utility evaluation","Strongest direct existing evidence for a common safety bottleneck","FATAL if common fuse is only sparse-neuron pruning","high","https://www.ndss-symposium.org/wp-content/uploads/2026-s660-paper.pdf"
"The Hydra Effect: Emergent Self-repair in Language Model Computations","McGrath et al.","2023-07","arXiv preprint","Why single-component ablation underestimates circuit redundancy","Attention-head ablation and downstream compensation analysis","Ablating a primary component can increase downstream backup contributions","Task performance and internal logit repair","Classical warning that intact attribution misses dormant writers","HIGH","high","https://arxiv.org/abs/2307.15771"
"Self-Repair in Language Models","Rushing and Nanda","2024-02","arXiv preprint","What mechanisms cause apparent self-repair after ablation","Direct/total effect decomposition and LayerNorm analysis","Some recovery reflects downstream compensation and some LayerNorm rescaling","Language-model loss recovery","Forces normalization controls in backup/self-repair claims","MEDIUM","high","https://arxiv.org/abs/2402.15390"
"Safety Pretraining: Toward the Next Generation of Safe AI","Maini et al.","2025-12","NeurIPS 2025 main conference","Whether safety should be learned during pretraining","Filtering, rephrasing, native refusal and harmfulness tags during pretraining","Safety pretraining improves tested attack robustness without observed general-task loss","Input jailbreak safety","Broader alternative to post-training-only question","MEDIUM","high","https://proceedings.neurips.cc/paper_files/paper/2025/hash/3e84c4e0acee2be072571fedc70700a9-Abstract-Conference.html"
"Adversarial Parameter Attack on Deep Neural Networks","Yu et al.","2023-07","ICML 2023 main conference","Can tiny parameter edits stealthily destroy robustness","Norm-constrained adversarial parameter optimization","Small weight perturbations preserve standard accuracy while collapsing adversarial robustness","Utility-preserving parameter tampering","Generic prior for common-mode parameter attack and constrained editability","HIGH","high","https://proceedings.mlr.press/v202/yu23f.html"
"Does Localization Inform Editing?","Hase et al.","2023-12","NeurIPS 2023 main conference","Does causal activation localization identify the best edit location","Compare causal tracing peaks with layer-restricted editing success","Localization and editability can be statistically unrelated","Fact editing efficacy/specificity","Direct methodological warning: where safety acts need not be where it is cheapest to break","HIGH","high","https://proceedings.neurips.cc/paper_files/paper/2023/hash/3927bbdcf0e8d1fa8aa23c26f358a281-Abstract-Conference.html"
"Does Localization Inform Unlearning?","Lee et al.","2025-11","EMNLP 2025 main conference","Whether local parameter attribution causally identifies where to unlearn","Controlled localized-update experiments","The parameter set that must change for effective unlearning is not uniquely determined","Knowledge removal with utility retention","Extends localization/editability mismatch directly to safeguard-like suppression","HIGH","high","https://aclanthology.org/2025.emnlp-main.1109/"
"Mechanistic Unlearning: Robust Knowledge Unlearning and Editing via Mechanistic Localization","Guo et al.","2025-07","ICML 2025 main conference","Which kind of localization yields durable unlearning","Target high-level fact-lookup mechanisms with predictable intermediate states","Mechanistic localization improves paraphrase and relearning robustness","Knowledge unlearning under relearning attacks","Shows mechanism quality can matter, but not generic output localization","HIGH","high","https://proceedings.mlr.press/v267/guo25k.html"
"Unlearning or Obfuscating? Jogging the Memory of Unlearned LLMs via Benign Relearning","Hu et al.","2025-04","ICLR 2025 main conference","Do unlearning methods erase knowledge or suppress access","Benign loosely related fine-tuning attacks across benchmarks","Apparently forgotten knowledge often reappears after benign fine-tuning","Relearning durability","Strong counterexample to behavior-only safeguard claims","HIGH","high","https://proceedings.iclr.cc/paper_files/paper/2025/hash/18fd48d9cbbf9a20e434c9d3db6973c5-Abstract-Conference.html"
"Erase or Hide? Suppressing Spurious Unlearning Neurons for Robust Unlearning","Yang et al.","2026-04","ICLR 2026 main conference","Why forgotten knowledge reappears","Attribution separates knowledge-bearing influence from learned negative inhibitors","Many methods hide knowledge with spurious suppressors; suppressor-avoiding training is more robust","Adversarial and benign retraining durability","Close conceptual analogy: refusal writers may be inhibitors rather than durable removal","HIGH","high","https://proceedings.iclr.cc/paper_files/paper/2026/hash/d4aa3942a863aaf997053eee7b733f85-Abstract-Conference.html"
"Towards LLM Unlearning Resilient to Relearning Attacks","Fan et al.","2025-07","ICML 2025 main conference","How to improve relearning robustness","Sharpness-aware robust optimization","Connects unlearning durability to local sharpness and improves relearning resistance","Relearning attack robustness","Prior for minimum-energy/flatness defense analogies","MEDIUM","high","https://openreview.net/forum?id=zZjLv6F0Ks"
"Invariance Makes LLM Unlearning Resilient Even to Unanticipated Downstream Fine-Tuning","Wang et al.","2025-07","ICML 2025 main conference","How to resist unseen benign downstream fine-tuning","Environment-invariant unlearning objective","Training against one environment transfers to unseen downstream tasks","OOD fine-tuning durability","Alternative explanation via update-environment invariance","HIGH","high","https://proceedings.mlr.press/v267/wang25en.html"
"Locating and Editing Factual Associations in GPT","Meng et al.","2022-12","NeurIPS 2022 main conference","Where facts are recalled and whether they can be directly edited","Causal tracing and rank-one model editing","Middle-layer MLP interventions yield specific and generalizing fact edits","Editing efficacy/specificity","Classic bridge from mechanism to parameter edit; later work limits inference","MEDIUM","high","https://proceedings.neurips.cc/paper_files/paper/2022/hash/6f1d43d5a82a37e89b0665b33bf3a182-Abstract-Conference.html"
"Sparse Feature Circuits","Marks et al.","2025-04","ICLR 2025 main conference","How to discover interpretable causal feature graphs","Crosscoder/transcoder-style sparse feature circuits and edge attribution","Sparse feature graphs support causal explanation and targeted editing","Behavior editing and OOD probe improvement","Generic prior for writer graph, circuit sparsity and targeted intervention","HIGH","high","https://arxiv.org/abs/2403.19647"
"Rethinking Circuit Completeness in Language Models","Chen et al.","2025-12","NeurIPS 2025 main conference","Why discovered circuits miss backup logic","AND/OR/ADDER gate decomposition with noising and denoising interventions","OR-like logic causes incompleteness and unstable circuit discovery","Circuit faithfulness/completeness","Formal prior that isolated ablations miss redundant/backup paths","HIGH","high","https://proceedings.neurips.cc/paper_files/paper/2025/hash/dd37fdb24a4e1cfa3ed5c247217a7394-Abstract-Conference.html"
"The Geometry of Neural Nets’ Parameter Spaces Under Reparametrization","Kristiadi et al.","2023-12","NeurIPS 2023 main conference","Which parameter-space quantities are coordinate invariant","Riemannian treatment with explicit metrics","Naive Hessian, path and flatness statements change under reparametrization","Methodological rather than safety endpoint","Makes Euclidean control energy scientifically unsafe without a metric","HIGH","high","https://proceedings.neurips.cc/paper_files/paper/2023/hash/395371f778ebd4854b88521100af30ad-Abstract-Conference.html"
"A Reparametrization-Invariant Sharpness Measure Based on Information Geometry","Jang et al.","2022-12","NeurIPS 2022 main conference","How to measure sharpness without coordinate artifacts","Fisher-information geometric sharpness","Information-geometric sharpness is scale/reparametrization invariant","Generalization rather than safety","Supports Fisher/functional metric, not raw weight norm","MEDIUM","high","https://proceedings.neurips.cc/paper_files/paper/2022/hash/b2ba568effcc3ab221912db2fb095ea9-Abstract-Conference.html"
"LLM-VA: Resolving the Jailbreak–Overrefusal Trade-off via Vector Alignment","Haonan Zhang; Dongxia Wang; Yi Liu; Kexin Chen; Wenhai Wang","2026-05","ACL 2026 main conference; arXiv record","Can a minimum-norm weight update align safety and benign response directions","Vector-alignment weight update","Reportedly improves jailbreak safety while preserving benign utility across multiple models","Input jailbreak/over-refusal frontier","Collision with principled low-rank safety weight editing","HIGH","high","https://arxiv.org/abs/2601.19487"
"LASA: Language-Agnostic Semantic Alignment at Semantic Bottleneck","Junxiao Yang et al.","2026-07","ACL 2026 main conference","How to transfer safety to low-resource languages","Align safety at a shared intermediate semantic bottleneck","Multilingual attack success falls sharply with limited utility cost","Cross-lingual jailbreak safety","Alternative shared-bottleneck interpretation; not white-box durability","MEDIUM","high","https://aclanthology.org/2026.acl-long.1913/"
"SafeConstellations","Utsav Maskey; Sumit Yadav; Mark Dras; Usman Naseem","2026-07","ACL 2026 main conference; arXiv record","How to reduce over-refusal with task-specific safety geometry","Task-specific activation trajectories/constellations","Reportedly reduces over-refusal while retaining safety","Input safety/usability","Shows richer geometry can serve usability rather than durability","MEDIUM","high","https://arxiv.org/abs/2508.11290"
"Alignment-Weighted DPO","Mengxuan Hu; Vivek Datla; Anoop Kumar; Zihan Guan; Sheng Li; Alfy Samuel; Daben Liu","2026-04","ICLR 2026 main conference","How to prevent shallow refusal in reasoning models","Chain-of-thought safety data and segment-weighted DPO","Deeper response-level safety improves robustness","Reasoning-model jailbreak safety","Alternative training-signal mechanism; not weight-tamper endpoint","MEDIUM","high","https://proceedings.iclr.cc/paper_files/paper/2026/hash/685a5b307335325938dcd456f9aece8e-Abstract-Conference.html"
