defense,paper,year_venue_status,model_sizes,safeguard_target,threat_model,attacks_evaluated,adaptive_attacker,utility_loss,defender_compute,attacker_compute,model_families,open_source_code,heretic_or_abliteration_tested,malicious_ft_tested,generalization_across_attacks,strongest_result,weakest_result,known_failure,evaluation_concern,claimed_universality,actual_supported_scope,evidence_strength,independent_evidence_provenance,source
"ReFAT","Robust LLM Safeguarding via Refusal Feature Adversarial Training","2025 preprint","Llama3-8B-class","refusal-feature ablation robustness","train against residual refusal-feature removal","input jailbreaks; refusal-feature attack; later TamperBench","partly held-out; broad adaptive coverage limited","reported small","efficient LoRA-style alignment; exact normalized cost NR","attack-specific","Llama","yes","yes","later TamperBench","some unseen prompt transfer","feature ablation serves as cheap attack surrogate","can overfit to one feature extraction method","defense-aware multi-direction/FT attack","preprint and mostly refusal endpoint","attack-family-general refusal robustness","selected prompt/ablation attacks","promising preprint / benchmarked later","No independent broad validation identified","https://arxiv.org/abs/2409.20089"
"Triplet / CRL","Improving Large Language Model Safety with Contrastive Representation Learning","EMNLP 2025 / arXiv","Llama3-8B and multiple models","separate benign/harmful/adversarial internal representations","input and embedding attacks; later TamperBench weight attacks","GCG; REINFORCE; embedding; refusal ablation; TamperBench suite","hard-negative mining; later external sweeps","reported little standard-performance loss","LoRA-style triplet training; exact FLOPs NR","TamperBench 40-trial sweeps for FT attacks","Llama and peers","yes","yes in appendix/later benchmark","later TamperBench","input-to-embedding and benchmark attack transfer","one of strongest average defense baselines in TamperBench","all models remain vulnerable under at least one sweep","representation separation is not integrity guarantee","strongest evidence concentrated on Llama3-8B","general representation safety","strong baseline for input/latent; bounded tamper evidence","paper + independent benchmark","TamperBench 2026 CRL implementation and benchmark","https://arxiv.org/abs/2506.11938"
"Latent Adversarial Training (LAT)","Latent Adversarial Training Improves Robustness to Persistent Harmful Behaviors","2024-2025 papers/code","Llama3-8B and related","robust behavior/capability under residual perturbations","train against optimized latent perturbations","latent/input attacks; unlearning/tamper evaluations","inner latent adversary; later held-out attacks","task-dependent","multiple inner-loop activation optimizations; normalized cost NR","latent steps / held-out FT in later work","Llama","yes","not Heretic-specific","in later evaluations","some cross-input transfer","stronger than vanilla alignment in several settings","TamperBench and staged attacks retain vulnerabilities","latent adversary mismatch and high compute","variant/protocol ambiguity","broad latent robustness","selected input/latent and combined safeguards","mixed / multiple implementations","Che et al. TMLR 2025 uses LAT-related model-tampering evaluation; implementations and protocols vary","https://arxiv.org/abs/2407.15549"
"Safety Pretraining","Safety Pretraining: Toward the Next Generation of Safe AI","NeurIPS 2025","small-to-mid pretraining models reported","safer knowledge acquisition and refusal priors","filter/rephrase/tag/native-refusal during pretraining","input jailbreaks; abliteration analyses in follow-up","limited adaptive weight attack","no reported general-task degradation","pretraining intervention; exact total cost model-dependent","input attacks; limited tamper","controlled pretrained transformers","yes","model-abliteration studied in related work","limited","across standard jailbreaks","ASR 38.8% to 8.4% reported","not long-horizon full-weight relearning evidence","mixed filtering and behavior objectives confound mechanism","scale/domain/tamper coverage","next-generation safe pretraining","input robustness of studied pretraining recipes","author-only archival","No independent long-horizon tamper validation identified","https://proceedings.neurips.cc/paper_files/paper/2025/hash/3e84c4e0acee2be072571fedc70700a9-Abstract-Conference.html"
"AntiDote (bilevel hypernetwork)","AntiDote: Bi-level Adversarial Training for Tamper-Resistant LLMs","AAAI 2026","Llama-3.2-3B; Qwen2.5-7B; Gemma3-12B; ten configurations reported","refusal/tamper robustness","full-weight attacker claimed; inner proxy generates LoRA deltas","52 prompt/latent/weight attack variants","adaptive inner hypernetwork; external independence NR","<0.5% claimed across MMLU/HellaSwag/GSM8K","0.69h/32.4GB at 3B; 1.97h/51.2GB at 7B; 3.17h/73.6GB at 12B in paper setup","attack costs not fully normalized","Llama; Qwen; Gemma and others","yes","direct weight attacks claimed; Heretic not clearly isolated","yes","reported across attack categories/models","up to 27.4% robustness improvement","contextual dilution remains weaker; novel attack classes open","52 variants may not equal 52 inductive biases","no independent replication; short paper/extended appendix split","practical general tamper resistance","author-tested prompt/latent/FT robustness under disclosed suite","promising archival / author-only","No independent validation identified","https://ojs.aaai.org/index.php/AAAI/article/view/40570"
"Any-Depth Alignment","Any-Depth Alignment","ICLR 2026","Llama; Gemma; Mistral; Qwen; DeepSeek; gpt-oss","refusal recovery at arbitrary generation depth","trusted inference-time intervention","long prefills; GCG; AutoDAN; PAIR; TAP; later instruction tuning","input-adaptive; attacker cannot remove defense hook","minimal reported over-refusal/utility loss","negligible reported inference overhead; no training","query/search cost","six model families","yes","no","subsequent instruction tuning tested","strong model/prefill transfer","near-100% refusal on long prefills; <3% avg prompt-attack success","attacker with inference control removes reinjection","not model-only under untrusted runtime","attack assumes immutable runtime hook","safety at any generation depth","trusted-runtime prompt/prefill defense","strong archival but outside full-control persistence","No independent validation identified","https://proceedings.iclr.cc/paper_files/paper/2026/hash/2bb0db7d7081037aada48aafbeae717d-Abstract-Conference.html"
"Deep Ignorance","Filtering Pretraining Data Builds Tamper-Resistant Safeguards","ICLR 2026","matched 6.9B Pythia-style models; 550B tokens","prevent internalized bio-proxy capability","full-weight continued pretraining/fine-tuning plus context/retrieval","up to 10k steps/300M domain tokens; CB/LAT; staged context attacks","strong long-budget attacks; one domain/model family","no observed unrelated capability loss","filtering <1% extra training FLOPs; evidence required multiple full 550B-token runs","up to 10k steps / 300M tokens","Pythia-style 6.9B","yes","activation tampering discussed; Heretic not central","yes, long-horizon capability FT","across filter strengths and defense combinations","over order-of-magnitude stronger than post-training baselines","context/search restores capability; staged FT+retrieval defeats combinations","prohibitively costly as retrofit; bio proxy only","actual operational misuse not fully established","tamper-resistant knowledge prevention","pretraining-time bio-proxy capability prevention","strong archival, narrow but unusually rigorous","No independent replication identified; extensive author-run adaptive study","https://arxiv.org/abs/2508.06601"
"SEAM","Self-Destructive Language Models","ICLR 2026","multiple open LLMs; exact table in paper","make harmful FT destroy general capability","open-weight malicious FT under utility constraint","low/high-intensity harmful FT; baseline variants","defense-aware within paper; unseen composed attacks limited","clean utility retained; attacked utility intentionally collapses","Hessian-free coupled training; exact portable FLOPs NR","varied harmful data/LR","multiple transformer families","yes","no","yes","some attack-strength transfer","no-win behavior: low attack fails, high attack destroys utility","utility repair or alternate objective not ruled out","collapse metric can be gamed; attacker can start from base model","adaptive repair and composed attacks are untested","broad harmful-FT resilience","selected harmful FT under measured utility","strong archival / needs independent adaptive test","No independent adaptive utility-repair evaluation identified","https://proceedings.iclr.cc/paper_files/paper/2026/hash/1abb0e7bd62ba80610798dee81950522-Abstract-Conference.html"
"Antibody","Strengthening Defense Against Harmful Fine-Tuning via Attenuating Harmful Gradient Influence","ICLR 2026","multiple open LLMs; exact table in paper","safe provider-controlled fine-tuning","defender controls alignment and every downstream batch","poisoned user datasets / harmful FT","adaptive data within controlled trainer; no arbitrary owner","reported improved utility/safety","extra flatness alignment plus per-batch weighting; exact FLOPs NR","poisoned FT budget","multiple","code status verify before use","no","yes","datasets/models","mitigates poison while improving downstream task","attacker can omit weighting on open weights","fine-tuning-service rather than public-weight guarantee","scope mismatch","robust customization","controlled fine-tuning pipeline","author-only archival","No independent validation identified","https://proceedings.iclr.cc/paper_files/paper/2026/hash/c5d822eeba0e87592d8ed1d2168a62f0-Abstract-Conference.html"
"ART","Open-Weight LLM Fine-Tuning Defenses are Susceptible to Simple Attacks","2026 arXiv preprint","three model/defense families reported","abliteration/prefill-resistant refusal","cheap direct edit and prefill against defended checkpoints","abliteration; prefill; combination; three harmfulness benchmarks","defense-aware for these simple attacks","utility reported alongside safety; exact loss model-dependent","incremental training objective; exact normalized cost NR","non-gradient edit/prefill","several open model families","code status verify","yes","yes as base defenses","abliteration to prefill/combined","reduces simple-attack success by 10-20 points","residual ASR substantial; no broad FT/composed guarantee","trained/evaluated on closely related edit family","preprint; limited attack breadth","layerable open-weight hardening","narrow abliteration/prefill robustness","recent preprint","Paper independently attacks prior defenses; ART defense remains author-evaluated","https://arxiv.org/abs/2605.26526"
"AMRA / refusal aliases","Abliteration Mitigation via Refusal Aliases","2026 arXiv preprint","Llama3-8B; Gemma2-9B","obscure refusal-direction extraction","standard abliteration after rank-k alias/read-write edit","abliteration; harmful-output and MMLU controls","limited; defense-aware re-extraction unclear","<0.5 MMLU point on Llama; larger Gemma trade-off","one-shot rank-k weight edit; exact cost NR","cheap direction extraction/edit","Llama; Gemma","code status verify","yes","no","two families with mixed results","+2.16 refusal points Llama; +14.70 Gemma over undefended post-attack","model-dependent utility trade-off","new directions/multi-direction automated search may bypass alias","obfuscation can be mistaken for independent robustness","abliteration mitigation","standard direction-extraction attack only","recent preprint","No independent validation identified","https://arxiv.org/abs/2608.18093"
"Smoothness-aware unlearning","Towards LLM Unlearning Resilient to Relearning Attacks","ICML 2025","LLM-scale models on WMDP/MUSE","durable knowledge unlearning","post-unlearning relearning and jailbreak","relearning; input jailbreak","some unseen transfer","retain/forget trade-off reported","SAM/multi-step unlearning overhead; normalized cost NR","relearning steps","multiple open LLMs","yes","no","relearning yes","relearning to input jailbreak","smoothness consistently improves tested resistance","does not establish deletion or arbitrary retraining robustness","local sharpness and benchmark dependence","unlearning scores are not task capability","robust unlearning","selected relearning/jailbreak settings","author-only archival","No independent validation identified","https://proceedings.mlr.press/v267/fan25e.html"
"Invariant unlearning","Invariance Makes LLM Unlearning Resilient Even to Unanticipated Downstream Fine-Tuning","ICML 2025","LLM-scale benchmark models","unlearning retained through downstream FT","environment-invariant unlearning","anticipated and held-out downstream fine-tuning","held-out environments yes","retain utility reported","multi-environment unlearning overhead; normalized cost NR","downstream FT budgets","multiple open models","yes","no","relearning/downstream FT yes","unseen downstream tasks","transfer to unanticipated FT environments","not unrestricted malicious capability restoration","environment set may not span attack programs","unlearning endpoint limitations","general downstream-FT durability","selected environment transfer","author-only archival","No independent validation identified","https://proceedings.mlr.press/v267/wang25en.html"
"HARC","HARC: Coupling Harmfulness and Refusal Directions for Robust Safety Alignment","2026 arXiv preprint v3","Llama-3.1-8B/70B; Qwen-2.5-7B/72B; five-family mechanism analysis","couple harm recognition to refusal at prompt and response positions","black-box prompt jailbreaks; appendix harmful fine-tuning","PAP; PAIR; CodeAttack; DeepInception; limited harmful FT","adaptive prompts; no HARC-aware white-box attacker","matches base mean helpfulness and over-refusal in author study","LoRA on attention and MLP projections; directions recomputed every 200 steps; portable GPU-hours NR","prompt queries; harmful FT collapses near 160 examples","five families for directions; Llama and Qwen for main defense","yes","no","yes, limited appendix test","prompt attacks and two main model families; mechanism across five families","mean ASR reduced 4.67x on Llama-8B and 4.75x on Qwen-7B versus base","collapses to baseline within roughly 160 harmful examples; CodeAttack hardest","low-dimensional coupling footprint is directly editable","author-only preprint; GPT-4o judge; no defense-aware white-box attack","robust safety alignment","prompt-jailbreak defense with explicit failure under malicious FT","recent preprint / author-only","No independent validation identified","https://arxiv.org/abs/2607.00572"
"Skin-Deep (diagnostic; not a defense)","Skin-Deep: A Geometric Diagnostic for Alignment Fragility in Large Language Model Representations","2026 arXiv preprint","21 instruction-tuned models, 3B-32B; seven-model LoRA fragility set","pre-attack prediction of refusal fragility","small benign rank-8 LoRA fine-tuning","direction ablation; benign LoRA with 5-200 examples","no","not applicable as defense; utility preservation is not the primary endpoint","activation capture on 1000 prompts per model plus PCA/cPCA/CKA; cost NR","small benign LoRA","multiple families; six alignment-recipe labels","yes, pre-attack diagnostic","Arditi-direction ablation only","no","descriptive breadth 21 models; attack validation seven models","lowest-GFS Gemma-2-9B is the sole model retaining substantial refusal at largest LoRA update","predictive ordering relies heavily on one exceptional model; no separate prospective model population","GFS may be attack- and endpoint-specific","rule-based harmful-compliance judge in LoRA study; English only","pre-deployment fragility diagnostic","hypothesis generator for benign-LoRA refusal fragility, not tamper defense","recent preprint / author-only","No independent validation identified","https://arxiv.org/abs/2606.22676"
"Diverse refusal-prefix training (mechanism study)","Refusal Geometry Reflects Refusal Training","2026 arXiv preprint v2","OLMo-2-0425-1B family case study","weaken single-vector refusal ablation through target diversity","target-set-adapted difference-in-means vector ablation","single-vector residual ablation; frozen analysis; controlled synthetic SFT","attacker estimates direction on the same evaluated set","behavior-matched refusal endpoint; broad utility not established","per-example gradients and controlled fine-tuning; portable cost NR","one direction extraction and ablation","one OLMo-2 1B family","not identified","yes, standard vector ablation; not Heretic","no","no cross-family or cross-attack validation","diverse refusal starts raise gradient/residual stable rank and reduce ablation effect at matched refusal score","first-token SFT approximation and same-set single-vector attack","multi-direction, SAE, automated edits, DPO/RL and full FT remain open","one small family; descriptive checkpoint stages confounded","training diversity as a refusal-hardening lever","single-vector ablation hardening in controlled OLMo case study","recent preprint / author-only","No independent validation identified","https://arxiv.org/abs/2608.25390"
"Safety routing / LoRA-ASAM mitigation (mechanism study)","When Safety Routing Breaks: Understanding Alignment Fragility under Benign Fine-Tuning","Findings of EMNLP 2026","Llama-3.1-8B; Qwen-2.5-7B","explain and delay refusal collapse under benign fine-tuning","100-5000 benign examples using full SFT, LoRA or ASAM","benign Alpaca/Dolly fine-tuning; gradient-conflict subsets","no defense-aware attacker","utility degrades less than refusal at small scale; larger-scale collapse includes utility decline","top-64 blockwise empirical Fisher plus LoRA/ASAM; one H200 in study","100-5000 benign examples","Llama and Qwen","not identified","no","benign FT only, not malicious","two families; two datasets; SFT and DPO alignment","100 benign examples raise ASR as high as 85.7%; Fisher/logit-lens/patching converge on late routing","LoRA and ASAM delay early collapse but fail at 5000 examples","local Fisher explanation may not predict direct edits or long-horizon FT","two seeds for training; English/refusal endpoint; no adaptive attack","output-routing account of alignment fragility","mechanism evidence and short-budget mitigation, not durable open-weight defense","archival finding / author-only","No independent validation identified","https://arxiv.org/abs/2609.01455"
